Protein	Sample_A1	Sample_A2	Sample_A3	Sample_B1	Sample_B2	Sample_B3	Protein names	Gene names	Unique peptides	Sequence coverage [%]
P0000	243.8892315135525	129.24834372876802	283.6350958117489	487.778463027105	258.49668745753604	567.2701916234978	Protein 0	GENE0	5	73.5359568545725
P0001	719.9723550487872	319.71652031277404	92.80732910192589	1439.9447100975744	639.4330406255481	185.61465820385177	Protein 1	GENE1	11	60.6396256984635
P0002	189.04068785871416	21.905105890698177	26.44539834321595	378.08137571742833	43.810211781396355	52.8907966864319	Protein 2	GENE2	6	14.101040851051122
P0003	59.85804991593162	36.15069951143441	642.6811797985918	119.71609983186325	72.30139902286882	1285.3623595971835	Protein 3	GENE3	10	12.569612550349769
P0004	86.10928759483123	165.8232711670189	46.946395172951455	172.21857518966246	331.6465423340378	93.89279034590291	Protein 4	GENE4	4	68.08722183132079
P0005	81.3119821628202	946.0336928223676	146.42345131287476	51.536436947522425	337.8307100268898	43.77909192177968	Protein 5	GENE5	18	11.548670572777418
P0006	182.88610737194284	20.912140513184614	39.323171514843615	180.7041630635137	310.5877841188552	176.15570319566373	Protein 6	GENE6	4	78.96740533613206
P0007	132.20473154834082	109.8258911839452	33.834399093989646	72.25169533816131	93.63097226733991	427.14444137145136	Protein 7	GENE7	17	68.56180044408467
P0008	209.2685362275741	25.456213145045286	205.22028627404117	100.97951955374418	75.42041540423405	273.60249061743656	Protein 8	GENE8	5	12.321390257770979
P0009	416.13075363401856	376.6363447432173	64.12167669811086	108.93894897300348	206.6989592093848	393.68264969760304	Protein 9	GENE9	19	12.635394267667273
P0010	91.91146365861525	123.2655564151196	49.09047509158863	44.87107491551884	334.4628534380028	576.0762489423045	Protein 10	GENE10	18	93.7975620651058
P0011	138.10163207605427	404.85658686587885	213.07325463296152	77.85750098423578	213.02203381675176	690.9286528881433	Protein 11	GENE11	8	38.68437161805083
P0012	143.1902206851899	709.5590039155938	10.807657340519478	337.6137546623872	161.91104317969672	110.05636564795863	Protein 12	GENE12	6	38.357793236020186
P0013	162.67604619141503	20.336780326650896	119.14343604261376	212.1116042959416	650.5993693751994	88.38743148168243	Protein 13	GENE13	13	78.15196105317523
P0014	66.12232244984858	89.85910614666787	370.7033391121137	206.1803166909595	87.3776733383476	247.95999758973883	Protein 14	GENE14	18	90.25237196454728
P0015	163.54326112056205	390.9755361094356	73.54863632762296	106.9474779213429	100.27253679610993	34.34598242536962	Protein 15	GENE15	14	93.74009574405838
P0016	199.56106447019528	192.68471887149835	149.1740069802842	117.3795693916336	36.039993700549076	97.45148624867397	Protein 16	GENE16	4	72.80403667330475
P0017	105.34972010891825	66.53464109671827	126.30685309478326	222.3051209271895	978.6615777543877	176.72198876858494	Protein 17	GENE17	10	38.86336269778242
P0018	192.0105638800395	137.76565427609074	21.785155221543874	144.529859240861	157.6267994030386	1742.7892264654556	Protein 18	GENE18	18	12.51506450288019
P0019	122.44219428424755	200.64703955563058	143.34986209240327	46.12347144374049	465.36535861053966	314.7985884851466	Protein 19	GENE19	18	74.94322243346932
P0020	327.35065867991176	59.77649629821112	603.5291318886009	36.530551475673924	266.89547271773273	1326.7075501214083	Protein 20	GENE20	17	55.256382476222456
P0021	55.117301840835104	84.24272963684726	163.96473350359523	89.70480596941194	31.479500900665773	158.94575409676247	Protein 21	GENE21	14	43.17998083222786
P0022	51.30028389997045	238.31478614692446	59.17953359207473	699.1983084108552	67.81251111643515	107.5481316662953	Protein 22	GENE22	18	86.57189465852623
P0023	334.79460265046237	43.342586931625355	186.31893966112236	548.4755783437746	29.74070854629746	178.5080786131078	Protein 23	GENE23	5	15.007773407553621
P0024	192.4589326814192	324.34990013856833	43.07958802076701	39.62829514271324	250.12019082107295	199.7336388653046	Protein 24	GENE24	13	49.336259386177325
P0025	190.66021225816775	209.86158817763635	75.18676953342298	187.21425266214115	198.95376743757254	72.64965069654049	Protein 25	GENE25	10	6.021828029067716
P0026	958.8882218893683	238.3721054278528	45.091623736564436	286.16071931645075	55.998131817264024	326.0610402083607	Protein 26	GENE26	13	47.17945777947136
P0027	472.7636491839277	65.3212681051355	388.9209576400096	224.2543563222729	337.66698556391634	989.0975706825366	Protein 27	GENE27	10	10.067294811365361
P0028	116.11857693962205	69.843975693079	60.976318676224246	65.6402920207133	137.4002625438475	208.75305008641806	Protein 28	GENE28	8	15.693612464126472
P0029	195.72112204818467	339.4013223850398	150.35541005769343	634.9422673226541	113.90253957789602	2253.340738296187	Protein 29	GENE29	15	15.577362209939439
P0030	277.4573833182727	62.981588873866514	50.861563559351644	240.44044170605125	118.69263050882405	303.08112049759615	Protein 30	GENE30	16	63.42892719044572
P0031	238.23024561485536	137.98860197238983	63.63771399438093	32.62741139213694	94.96278214384843	349.4633857290614	Protein 31	GENE31	17	72.1440391338881
P0032	183.84513472837696	42.70266033785166	176.47530046123404	218.17933881943372	61.32223882151417	173.075013738943	Protein 32	GENE32	6	57.503188858744366
P0033	157.30848001702205	47.324574317041076	212.25478314093056	260.0267541681199	438.3647135263474	425.728599146402	Protein 33	GENE33	4	91.59552936270877
P0034	37.4246894388039	58.10054011329988	248.39873742310382	248.08860260100496	248.40182233037075	6993.465490207351	Protein 34	GENE34	13	38.73835215713336
P0035	262.6679036991387	462.000346083803	385.29210600094524	284.6872619590792	108.28111427336884	317.0213812983079	Protein 35	GENE35	5	30.714087765367466
P0036	68.5233652373221	117.11793203592046	91.34435194445085	161.07565144686478	1502.1588213891318	22.93662108838941	Protein 36	GENE36	17	83.17392153705143
P0037	294.7891014629514	29.585492673689984	92.57953697223486	440.95842515038686	158.26645221991956	50.51423723890708	Protein 37	GENE37	8	25.123625466750738
P0038	72.58050000208392	292.8316143995764	71.49541832547912	184.28041454095379	155.33309947083117	77.35456961523911	Protein 38	GENE38	14	91.69002854965501
P0039	1266.4133995434818	279.7563434384108	19.58683022982146	178.83334073109341	76.57062635332261	348.0803468214457	Protein 39	GENE39	11	6.09390272208347
P0040	67.1869654076716	132.3253362103381	245.91532736523905	352.74844911588104	44.68793671028062	106.21855001818169	Protein 40	GENE40	8	92.28909440368751
P0041	92.3009735237149	77.2209480041142	867.3601082197059	222.51215091318568	42.06079390641288	371.61632850550404	Protein 41	GENE41	15	8.884392075551851
P0042	1239.1193405072163	416.74113953920335	32.480179249576125	91.44758138953259	526.8475086065719	73.13671767186449	Protein 42	GENE42	6	85.2028802328264
P0043	231.3240238131354	322.0265686349927	58.736980997330804	139.8366064083894	5.805075725448036	53.282735062259064	Protein 43	GENE43	4	52.49309981776699
P0044	115.28782742215316	42.61544805906026	759.3108942962148	35.511572243051354	95.57922773134406	169.14233464403347	Protein 44	GENE44	12	94.36683165073703
P0045	627.204904741942	35.308998583062895	474.9282557758376	149.93967717123152	55.61713565189069	235.59246621812005	Protein 45	GENE45	12	11.641690826185897
P0046	181.10187089655474	81.4332057474016	159.14282747196367	100.95616403158074	166.25410072573948	287.76111511062777	Protein 46	GENE46	19	54.846885596118874
P0047	724.8877506262394	43.042349416277766	1252.671030151909	21.071305804437372	127.51256451570265	267.28545482245636	Protein 47	GENE47	16	92.2372282057189
P0048	196.56474492173555	79.62279969601009	120.52747673598157	90.64937706805922	82.32174121236368	347.0962423689448	Protein 48	GENE48	13	52.078805975313394
P0049	212.09101232448495	74.22421203822725	364.8914366239438	201.8045229854294	334.57535102172744	278.5587091291349	Protein 49	GENE49	10	61.64587743217363
